UserID,Daily_Logins,Failed_Password_Attempts,Session_Duration_Min,Data_Download_MB,Off_Hours_Activity_Pct,Unique_IP_Count,Reference_Label,Base_Prediction,Base_Model_Binary,Base_anomaly_Score,Final_Anomaly,final_binary,Final_Anomaly_Score
USER-6001,3,0,276.5,2099.9,84.4,3,1,1,0,0.02397792379805952,-1,1,-0.16645556911716092
USER-6011,5,0,347.0,5215.5,78.4,3,1,-1,1,-0.005784416429279293,-1,1,-0.2039622410824436
USER-6020,1,1,35.2,57.4,0.0,2,0,1,0,0.20508734877488344,-1,1,-0.026674387936737765
USER-6033,2,0,273.4,6573.2,78.3,1,1,1,0,0.0078029424041464734,-1,1,-0.1562488702869484
USER-6034,4,0,233.4,7747.0,74.5,2,1,-1,1,-0.01269201747259352,-1,1,-0.21850741443738902
USER-6050,3,0,411.3,4243.2,80.6,3,1,1,0,0.005867118121357651,-1,1,-0.15871391559000608
USER-6069,4,0,333.8,2999.4,75.3,1,1,1,0,0.02513523564351694,-1,1,-0.15947601182314636
USER-6085,1,2,30.9,23.3,0.0,1,0,1,0,0.19583692231877048,-1,1,-0.03331824899727093
USER-6107,4,1,28.1,36.7,5.3,3,0,1,0,0.2230083463196752,-1,1,-0.0007447962920978934
USER-6134,266,3,0.9,517.5,72.3,21,1,-1,1,-0.015287431632745596,-1,1,-0.20669914666823158
USER-6139,57,22,4.0,2.9,84.3,14,1,-1,1,-0.01372516551987546,-1,1,-0.1894176265379745
USER-6140,3,0,397.4,1602.8,80.2,3,1,1,0,0.014005265781477538,-1,1,-0.1742716163658356
USER-6154,58,29,1.1,8.0,74.0,10,1,-1,1,-0.02408411276952349,-1,1,-0.20045765383914854
USER-6185,5,2,31.3,32.7,0.0,1,0,1,0,0.2165197632362703,-1,1,-0.008815508500849556
USER-6226,295,2,1.2,561.4,51.6,43,1,-1,1,-0.041776439409172084,-1,1,-0.22675452986763184
USER-6233,2,2,22.3,53.4,17.0,2,0,1,0,0.18407115310628142,-1,1,-0.05195707456412019
USER-6240,183,4,0.6,392.8,49.8,36,1,-1,1,-0.027603877727239823,-1,1,-0.2160086263009679
USER-6241,51,24,2.4,13.0,61.7,22,1,-1,1,-0.020074023043194167,-1,1,-0.21774440889575647
USER-6247,50,19,0.9,6.9,86.3,9,1,-1,1,-0.004665512437387109,-1,1,-0.19753970845544971
USER-6248,3,0,405.0,4182.4,89.4,2,1,1,0,0.0017520011512011102,-1,1,-0.17347680613633304
USER-6259,3,0,45.7,5.6,3.1,3,0,1,0,0.21193028314202828,-1,1,-0.01048863930427707
USER-6261,66,30,2.0,5.2,69.1,11,1,-1,1,-0.018959100268645,-1,1,-0.1941540421124343
USER-6305,3,0,321.0,7285.9,91.2,1,1,-1,1,-0.018038119484143578,-1,1,-0.1978405336660673
USER-6313,4,0,430.6,6598.7,81.3,2,1,-1,1,-0.016837553799063043,-1,1,-0.1994126792373711
USER-6324,25,20,2.3,1.8,94.1,11,1,-1,1,-0.0044688208903131965,-1,1,-0.214964086178068
USER-6358,72,32,3.5,1.5,87.6,14,1,-1,1,-0.04326511982327219,-1,1,-0.24079750870164535
USER-6364,238,3,0.6,341.5,81.4,42,1,-1,1,-0.03684955686563607,-1,1,-0.21992257123786724
USER-6366,173,2,1.4,231.1,81.4,27,1,-1,1,-0.015461921859137306,-1,1,-0.21292662855806505
USER-6372,4,2,50.6,67.5,6.0,2,0,1,0,0.1953017547584771,-1,1,-0.03242903950903259
USER-6381,4,2,46.8,56.8,0.0,3,0,1,0,0.1478951299665623,-1,1,-0.0880555448365446
USER-6390,3,0,452.4,4795.9,75.6,1,1,1,0,0.0009504860274012206,-1,1,-0.18285210004221658
USER-6411,298,1,0.6,374.2,59.8,38,1,-1,1,-0.02758804736209164,-1,1,-0.1983383862044767
USER-6412,5,0,205.5,4006.4,72.1,1,1,1,0,0.027176493842905436,-1,1,-0.18470432401211018
USER-6431,3,0,39.6,74.1,2.4,3,0,1,0,0.22046467921214408,-1,1,-0.00011192116314456824
USER-6441,198,2,1.0,417.2,57.3,30,1,1,0,0.0005998961328871344,-1,1,-0.17241275643989135
USER-6445,235,1,0.8,464.8,77.6,41,1,-1,1,-0.02792731490526179,-1,1,-0.2133515073805599
USER-6446,2,0,268.3,2246.2,98.2,3,1,-1,1,-0.0006631570299717726,-1,1,-0.2059700702901373
USER-6464,335,3,0.2,341.9,67.5,29,1,-1,1,-0.04556434679711319,-1,1,-0.22566236132289225
USER-6469,71,11,2.1,6.3,71.1,12,1,1,0,0.025407008507197015,-1,1,-0.17520957619190908
USER-6471,2,0,429.9,5011.9,95.3,2,1,-1,1,-0.024236746382162666,-1,1,-0.22017348710847512
USER-6475,224,4,1.5,276.5,63.0,30,1,-1,1,-0.018659567910275343,-1,1,-0.19649040414004665
USER-6478,2,0,185.0,5801.2,88.1,1,1,1,0,3.490300157749093e-05,-1,1,-0.1857332086663212
USER-6481,2,0,45.0,19.0,14.0,3,0,1,0,0.22553728181268368,-1,1,-0.010554644969459515
USER-6488,70,24,1.7,12.2,68.6,24,1,-1,1,-0.02573426268158896,-1,1,-0.21818232374858687
USER-6492,7,2,36.2,39.5,14.0,1,0,1,0,0.20747428568587006,-1,1,-0.020094468551938305
USER-6496,4,0,60.0,37.2,6.9,3,0,1,0,0.22124379289803597,-1,1,-0.0102740230964391
USER-6498,2,0,361.8,7021.4,71.3,3,1,-1,1,-0.029321248999507943,-1,1,-0.2166215837662407
USER-6499,2,0,358.2,4173.9,73.8,1,1,1,0,0.020832586195898117,-1,1,-0.16159823616554375
USER-6504,5,2,42.0,21.1,11.5,2,0,1,0,0.2103886004991123,-1,1,-0.0295692260674445
USER-6508,212,3,1.2,247.3,40.0,39,1,-1,1,-0.027428219197882964,-1,1,-0.22302950018268802
USER-6518,2,0,268.7,7561.5,85.7,1,1,-1,1,-0.014294627310447172,-1,1,-0.18103767002516585
USER-6522,31,24,3.9,6.3,62.2,13,1,-1,1,-0.005366720313402573,-1,1,-0.20383795293681178
USER-6531,3,0,417.4,7452.6,80.8,1,1,-1,1,-0.016386296454172444,-1,1,-0.1899654075374692
USER-6532,336,1,1.3,588.4,48.9,40,1,-1,1,-0.05459163303056125,-1,1,-0.24249482397634808
USER-6535,207,1,0.9,561.0,59.2,22,1,1,0,0.00019607053555570353,-1,1,-0.18754344312802979
USER-6540,4,0,292.1,5564.6,70.4,1,1,1,0,0.012437210746691463,-1,1,-0.16734649245762695
USER-6543,5,2,62.5,35.3,4.8,1,0,1,0,0.18590315533655222,-1,1,-0.03698711864950477
USER-6575,314,1,1.4,350.7,57.0,17,1,-1,1,-0.01543623220177226,-1,1,-0.2172220390991057
USER-6581,57,12,2.8,9.7,82.3,13,1,1,0,0.009372638853197501,-1,1,-0.1807819210552733
USER-6583,6,0,16.6,66.8,7.5,3,0,1,0,0.21221360065147465,-1,1,-0.02341225515052775
