UserID,Daily_Logins,Failed_Password_Attempts,Session_Duration_Min,Data_Download_MB,Off_Hours_Activity_Pct,Unique_IP_Count
USER-6000,3,0,27.1,23.5,7.2,1
USER-6001,3,0,276.5,2099.9,84.4,3
USER-6002,2,0,35.4,47.7,4.9,3
USER-6003,5,0,35.7,47.9,14.4,1
USER-6004,4,0,27.2,39.6,11.6,1
USER-6005,4,0,30.1,62.8,8.9,1
USER-6006,1,0,37.1,12.3,6.4,1
USER-6007,7,0,28.8,76.3,13.6,1
USER-6008,1,1,23.6,23.8,10.4,1
USER-6009,4,0,33.1,35.7,3.0,1
USER-6010,5,0,36.5,44.9,9.8,1
USER-6011,5,0,347.0,5215.5,78.4,3
USER-6012,3,0,25.0,20.6,8.2,1
USER-6013,1,0,43.0,44.0,3.2,1
USER-6014,3,0,30.9,60.1,5.7,1
USER-6015,5,0,42.7,7.9,4.8,1
USER-6016,4,0,35.9,46.3,7.4,1
USER-6017,3,0,36.1,37.7,6.3,1
USER-6018,4,0,45.3,58.1,6.7,1
USER-6019,3,0,48.0,16.9,6.6,1
USER-6020,1,1,35.2,57.4,0.0,2
USER-6021,2,1,37.9,22.8,12.6,1
USER-6022,4,0,47.5,47.7,9.0,1
USER-6023,2,0,26.8,46.1,6.1,1
USER-6024,3,0,43.3,41.0,4.1,1
USER-6025,3,0,29.5,58.0,13.4,1
USER-6026,1,0,37.8,18.3,14.0,1
USER-6027,4,0,61.4,46.6,10.9,1
USER-6028,4,0,39.4,73.2,13.4,1
USER-6029,4,1,36.0,30.2,7.5,3
USER-6030,7,0,40.2,42.6,6.3,2
USER-6031,5,1,11.8,25.7,2.8,1
USER-6032,1,0,32.4,41.3,6.9,1
USER-6033,2,0,273.4,6573.2,78.3,1
USER-6034,4,0,233.4,7747.0,74.5,2
USER-6035,7,0,35.6,33.3,10.7,2
USER-6036,3,0,29.5,83.5,3.6,1
USER-6037,3,0,50.0,13.8,3.0,1
USER-6038,3,0,31.3,42.8,10.1,1
USER-6039,2,0,52.5,52.3,4.9,1
USER-6040,5,0,23.7,46.5,7.5,1
USER-6041,2,0,42.1,57.2,4.2,2
USER-6042,3,0,46.6,35.1,4.3,2
USER-6043,4,0,22.5,26.4,4.7,1
USER-6044,1,0,41.1,63.7,0.0,1
USER-6045,4,0,34.0,59.6,7.9,1
USER-6046,3,0,34.4,77.3,10.7,1
USER-6047,4,2,33.2,25.7,8.4,1
USER-6048,4,0,25.2,75.1,10.9,2
USER-6049,4,0,44.8,29.9,10.0,2
USER-6050,3,0,411.3,4243.2,80.6,3
USER-6051,3,1,47.1,56.2,14.0,2
USER-6052,4,0,33.8,18.7,7.5,1
USER-6053,4,0,32.2,37.8,17.2,1
USER-6054,2,0,17.2,30.8,17.2,1
USER-6055,3,0,28.4,48.3,15.8,1
USER-6056,5,0,41.9,45.6,8.0,2
USER-6057,6,0,45.3,40.3,8.5,1
USER-6058,1,0,32.2,32.7,10.5,1
USER-6059,6,0,31.4,44.0,5.3,1
USER-6060,6,0,48.0,32.2,19.0,2
USER-6061,1,0,48.0,65.0,9.3,1
USER-6062,5,0,43.4,60.2,7.2,1
USER-6063,4,0,34.8,38.4,3.3,2
USER-6064,3,0,29.4,34.8,1.9,1
USER-6065,4,0,14.1,44.9,7.5,1
USER-6066,4,0,42.4,51.9,7.0,1
USER-6067,3,0,26.2,53.4,1.9,3
USER-6068,4,1,44.3,42.8,5.4,2
USER-6069,4,0,333.8,2999.4,75.3,1
USER-6070,4,0,28.8,66.3,5.7,1
USER-6071,4,0,31.2,48.0,1.9,1
USER-6072,2,0,36.6,35.8,6.4,2
USER-6073,4,0,45.8,42.3,4.8,1
USER-6074,5,0,25.5,37.2,8.9,2
USER-6075,1,0,26.3,37.7,12.2,1
USER-6076,1,0,39.6,53.9,12.4,2
USER-6077,4,0,42.2,61.0,12.7,1
USER-6078,3,1,39.8,42.5,8.6,1
USER-6079,2,0,39.9,45.4,13.1,1
USER-6080,5,2,20.1,24.6,11.0,1
USER-6081,6,0,37.1,48.7,14.3,3
USER-6082,5,1,20.6,38.3,8.8,1
USER-6083,3,0,36.7,62.9,1.9,1
USER-6084,4,0,29.7,68.5,7.7,1
USER-6085,1,2,30.9,23.3,0.0,1
USER-6086,4,0,44.9,48.7,5.7,1
USER-6087,3,1,23.5,72.7,3.7,1
USER-6088,5,0,32.9,26.2,13.8,2
USER-6089,4,0,34.7,50.1,9.8,1
USER-6090,4,0,41.1,47.9,10.8,1
USER-6091,2,0,34.5,34.9,15.2,1
USER-6092,2,0,34.9,57.6,5.4,1
USER-6093,3,0,34.7,38.2,0.0,1
USER-6094,5,0,24.1,30.5,7.8,1
USER-6095,7,0,34.8,41.7,8.1,1
USER-6096,2,0,35.4,30.0,6.9,1
USER-6097,5,0,41.2,66.0,11.7,1
USER-6098,6,0,38.6,58.4,10.5,1
USER-6099,4,0,44.5,76.1,5.2,1
USER-6100,3,0,37.0,35.2,6.1,2
USER-6101,2,0,29.7,44.6,16.6,1
USER-6102,2,2,42.5,45.6,8.5,1
USER-6103,3,0,37.1,41.1,1.3,2
USER-6104,5,0,43.7,26.6,2.1,3
USER-6105,1,0,55.0,61.2,7.8,2
USER-6106,1,0,29.3,67.1,13.5,1
USER-6107,4,1,28.1,36.7,5.3,3
USER-6108,4,0,32.1,53.2,6.5,1
USER-6109,1,0,37.4,39.6,3.5,3
USER-6110,5,0,22.5,38.0,9.4,3
USER-6111,1,0,32.3,46.2,2.9,1
USER-6112,3,0,47.3,67.5,11.4,1
USER-6113,5,0,47.2,50.7,9.7,1
USER-6114,3,0,38.8,43.9,7.9,1
USER-6115,3,1,24.7,46.2,0.0,1
USER-6116,4,0,39.5,60.0,0.0,1
USER-6117,2,0,39.0,61.6,3.8,1
USER-6118,4,0,28.5,42.1,8.9,1
USER-6119,3,0,55.0,48.0,12.2,1
USER-6120,4,0,39.5,54.6,3.4,1
USER-6121,2,0,38.0,44.0,9.3,2
USER-6122,4,0,49.4,41.3,11.9,1
USER-6123,5,0,40.7,40.5,13.5,2
USER-6124,4,0,24.7,28.6,2.2,1
USER-6125,2,0,50.5,35.4,2.7,1
USER-6126,4,0,28.0,34.7,17.0,1
USER-6127,4,0,46.3,24.2,1.4,1
USER-6128,7,0,42.3,53.9,11.4,2
USER-6129,3,1,38.9,33.7,6.9,1
USER-6130,2,0,25.2,47.7,13.6,1
USER-6131,6,0,42.7,30.3,7.1,1
USER-6132,2,0,40.5,36.0,9.3,1
USER-6133,6,0,34.2,46.9,6.3,2
USER-6134,266,3,0.9,517.5,72.3,21
USER-6135,5,0,32.5,20.7,9.5,1
USER-6136,5,0,39.6,53.8,10.7,1
USER-6137,2,0,32.5,43.8,12.4,1
USER-6138,3,0,25.6,53.4,3.2,1
USER-6139,57,22,4.0,2.9,84.3,14
USER-6140,3,0,397.4,1602.8,80.2,3
USER-6141,1,1,45.5,33.8,11.5,1
USER-6142,1,0,50.8,62.4,1.8,1
